True True
185	33
108	20
63	12
250	41
127	24
139	24
178	37
48	8
101	15
125	25
79	17
119	19
111	25
183	37
39	9
124	21
81	15
40	10
230	41
87	20
150	31
204	44
122	24
91	18
160	28
79	17
61	14
162	31
152	28
63	12
125	25
168	25
118	19
193	36
177	35
154	32
107	17
214	44
99	16
115	23
121	27
116	27
264	55
97	18
262	43
167	28
180	33
109	19
93	15
112	25
306	57
144	27
122	23
146	32
180	29
136	23
139	29
237	39
131	22
72	15
233	39
122	27
173	33
200	49
185	28
176	33
81	18
102	22
232	41
100	20
125	20
216	34
61	12
58	12
313	55
110	22
84	15
148	28
92	17
90	15
234	41
184	34
52	9
130	23
15	5
158	32
123	23
244	47
111	23
190	29
124	24
80	15
158	32
126	22
132	26
111	19
100	19
76	13
189	32
295	59
98	20
161	43
90	19
136	26
43	10
109	20
141	27
33	6
110	20
251	61
113	22
128	31
153	27
205	44
139	26
145	28
105	21
271	51
67	11
108	21
68	15
39	9
111	17
85	13
134	25
134	25
110	20
153	30
216	44
74	12
87	18
92	21
182	31
98	18
143	23
103	20
98	19
126	27
123	23
240	50
192	37
115	20
119	22
128	24
205	34
89	16
138	25
105	19
168	41
156	29
88	18
79	17
97	19
77	12
99	20
81	16
88	17
130	24
187	33
114	20
129	26
127	23
167	32
192	37
187	39
78	18
128	23
161	25
199	34
87	19
152	31
72	11
265	64
160	31
107	22
318	55
252	45
50	11
127	27
130	22
187	35
126	23
115	31
226	45
181	31
21	5
122	19
210	38
126	28
118	19
138	23
117	23
73	13
103	22
144	28
181	33
202	33
105	22
130	22
120	22
170	35
186	33
143	28
128	23
230	45
64	16
173	33
97	20
75	14
89	18
80	17
293	48
111	24
190	34
138	30
133	27
108	21
120	22
144	28
176	34
71	15
135	25
243	47
51	8
251	52
81	16
47	12
106	19
121	22
223	43
83	18
185	38
135	26
144	28
87	16
76	16
68	17
168	33
164	36
109	18
133	28
231	46
133	25
140	26
209	38
207	35
70	12
159	31
107	20
181	31
143	27
106	20
231	45
211	43
104	14
98	21
125	23
104	22
207	35
181	34
120	24
173	40
109	20
94	20
140	27
85	18
124	22
209	45
164	32
73	14
211	39
212	36
96	18
176	30
198	37
118	24
67	15
139	23
92	17
27	6
264	43
168	37
98	20
54	12
66	12
118	24
91	19
185	34
189	32
95	17
191	31
124	20
119	24
78	15
36	8
151	28
193	36
178	27
148	30
109	21
21	5
124	31
113	20
88	18
132	20
160	30
78	17
68	15
98	19
134	29
160	24
89	21
233	48
176	28
157	35
196	30
203	34
106	17
68	12
184	34
119	22
141	23
147	27
154	28
100	16
85	17
179	38
173	38
188	34
146	29
174	34
100	24
178	34
46	11
122	24
174	35
257	46
135	28
128	25
70	13
219	42
89	15
218	34
59	11
112	21
179	42
131	23
188	39
135	27
85	16
114	29
231	41
111	25
176	31
113	18
69	12
87	12
260	54
116	22
129	24
141	27
68	12
112	23
108	21
199	37
175	31
178	33
47	11
149	27
146	29
116	19
247	53
145	26
104	23
139	29
238	49
196	35
134	26
174	38
100	17
82	18
115	19
56	11
256	46
180	34
179	37
101	21
134	23
51	10
136	32
164	33
81	15
218	41
56	9
120	29
161	35
95	21
128	26
176	35
105	24
156	31
154	35
102	18
127	28
167	32
201	37
158	28
175	34
110	24
117	24
143	26
179	34
207	38
80	14
87	19
272	50
124	20
166	30
237	42
153	24
213	40
190	33
111	20
135	28
201	40
49	11
171	28
119	22
167	31
160	32
92	20
142	25
306	56
126	29
71	15
98	18
76	17
242	37
82	15
205	42
86	18
217	40
88	16
160	28
114	22
100	19
132	22
73	16
222	43
124	25
164	29
103	20
80	12
140	26
222	37
189	33
322	58
185	33
65	13
273	47
91	17
105	22
135	25
100	25
83	16
158	28
175	28
92	17
124	25
105	22
274	48
74	13
103	21
94	17
47	9
187	32
142	29
155	28
73	13
167	30
203	37
72	14
230	45
107	21
61	11
142	25
88	15
164	34
53	12
80	13
147	32
120	36
84	18
110	20
77	14
176	27
237	44
110	24
108	19
82	16
134	27
122	24
137	28
62	12
72	14
315	56
241	40
95	20
59	11
149	26
80	13
167	28
203	34
251	44
220	34
120	32
90	15
71	15
132	32
111	26
152	27
132	23
137	24
87	17
120	22
75	14
229	39
148	29
117	24
175	41
66	13
133	22
84	18
171	33
175	29
69	11
104	20
136	26
109	20
89	15
196	40
55	12
79	16
146	30
127	31
147	22
110	23
244	62
189	36
65	12
171	29
154	34
40	10
143	29
155	29
122	21
91	17
105	20
114	24
86	14
109	22
178	36
126	21
81	17
129	24
150	29
104	18
167	31
186	34
88	16
164	31
104	20
277	53
243	48
126	24
127	21
243	40
223	36
132	27
125	25
98	18
201	38
180	31
241	44
138	35
128	23
71	14
246	57
113	19
63	14
124	22
280	56
139	23
126	22
274	45
225	38
190	41
186	30
220	37
41	12
87	17
206	34
309	61
181	34
154	34
202	37
137	22
163	28
211	43
77	18
283	56
118	23
126	28
70	13
141	24
77	10
237	42
82	23
92	15
63	13
156	30
100	23
188	36
107	19
167	33
68	11
80	16
136	26
144	28
169	29
188	35
95	16
140	26
258	44
305	56
143	23
165	29
116	19
189	35
194	39
73	16
148	32
140	23
