Data Model / Classifier, SVM, NaiveBayes, MLP, DT, KNN, RandomForest, Adaboost, GradientBoost
WordEmbedding, 0.7900, 0.7700, 0.7700, 0.3100, 0.6300, 0.5300, 0.1200, 0.6600
Metadata, 0.1200, 0.1500, 0.1900, 0.2100, 0.1200, 0.1500, 0.0400, 0.1400
Combined, 0.7400, 0.6400, 0.7300, 0.4900, 0.6200, 0.4800, 0.2600, 0.7000
