Data Model / Classifier, SVM, NaiveBayes, MLP, DT, KNN, RandomForest, Adaboost, GradientBoost
WordEmbedding, 0.7900, 0.7800, 0.7700, 0.3100, 0.6500, 0.5500, 0.1600, 0.6700
Metadata, 0.1200, 0.1600, 0.2000, 0.2100, 0.1300, 0.1600, 0.0900, 0.1600
Combined, 0.7500, 0.6300, 0.7400, 0.5000, 0.6400, 0.5000, 0.3300, 0.7200
